country,revenue,units_sold,orders,customers_with_id,sales_rows,unique_products,revenue_share_pct,average_order_value
United Kingdom,9001744.09,4646906,18019,3920,479985,3916,84.59,499.57
Netherlands,285446.34,200361,94,9,2359,782,2.68,3036.66
EIRE,283140.52,147007,288,3,7879,1968,2.66,983.13
Germany,228678.40,119154,457,94,9025,1664,2.15,500.39
France,209625.37,112060,392,87,8392,1542,1.97,534.76
Australia,138453.81,83891,57,9,1181,599,1.30,2429.01
Spain,61558.56,27933,90,30,2479,1091,0.58,683.98
Switzerland,57067.60,30617,54,21,1958,978,0.54,1056.81
Belgium,41196.34,23237,98,25,2031,777,0.39,420.37
Sweden,38367.83,36078,36,8,450,261,0.36,1065.77
Japan,37416.37,26016,19,8,321,215,0.35,1969.28
Norway,36165.44,19336,36,10,1071,591,0.34,1004.60
Portugal,33683.05,16231,58,19,1492,706,0.32,580.74
Finland,22546.08,10704,41,12,685,458,0.21,549.90
Singapore,21279.29,5241,7,1,222,178,0.20,3039.90
Channel Islands,20440.54,9485,26,9,747,430,0.19,786.17
Denmark,18955.34,8235,18,9,380,251,0.18,1053.07
Italy,17483.24,8112,38,14,758,473,0.16,460.09
Hong Kong,15483.00,4713,11,0,280,191,0.15,1407.55
Cyprus,13502.85,6340,16,8,603,498,0.13,843.93
Austria,10198.68,4881,17,11,398,306,0.10,599.92
Israel,8129.41,4406,8,3,292,254,0.08,1016.18
Poland,7334.65,3684,19,6,330,204,0.07,386.03
Greece,4760.52,1557,5,4,145,138,0.04,952.10
Unspecified,4740.94,3295,13,4,442,344,0.04,364.69
Iceland,4310.00,2458,7,1,182,103,0.04,615.71
Canada,3666.38,2763,6,4,151,147,0.03,611.06
USA,3580.39,2458,5,4,179,163,0.03,716.08
Malta,2725.59,970,5,2,112,99,0.03,545.12
United Arab Emirates,1902.28,982,3,2,68,68,0.02,634.09
Lebanon,1693.88,386,1,1,45,45,0.02,1693.88
Lithuania,1661.06,652,4,1,35,29,0.02,415.26
European Community,1300.25,499,4,1,60,50,0.01,325.06
Brazil,1143.60,356,1,1,32,32,0.01,1143.60
RSA,1002.31,351,1,1,57,57,0.01,1002.31
Czech Republic,826.74,671,2,1,25,25,0.01,413.37
Bahrain,754.14,314,3,2,18,16,0.01,251.38
Saudi Arabia,145.92,80,1,1,9,9,0.00,145.92
