customer_id,revenue,orders,units_sold,products_purchased,countries,first_purchase_date,last_purchase_date,sales_rows,average_order_value,is_repeat_customer,customer_lifetime_days
14646,280206.02,73,196915,700,1,2010-12-20 10:09:00,2011-12-08 12:12:00,2076,3838.4386301369864,True,353
18102,259657.3,60,64124,150,1,2010-12-07 16:42:00,2011-12-09 11:50:00,431,4327.621666666667,True,366
17450,194390.79,46,69973,124,1,2010-12-07 09:23:00,2011-12-01 13:29:00,336,4225.886739130435,True,359
16446,168472.5,2,80997,3,1,2011-05-18 09:52:00,2011-12-09 09:15:00,3,84236.25,True,204
14911,143711.17,201,80240,1787,1,2010-12-01 14:05:00,2011-12-08 15:54:00,5670,714.980945273632,True,372
12415,124914.53,21,77374,444,1,2011-01-06 11:12:00,2011-11-15 14:22:00,714,5948.310952380953,True,313
14156,117210.08,55,57768,714,1,2010-12-03 11:48:00,2011-11-30 10:54:00,1395,2131.0923636363636,True,361
17511,91062.38,31,64549,453,1,2010-12-01 10:19:00,2011-12-07 10:12:00,963,2937.496129032258,True,370
16029,80850.84,63,40108,44,1,2010-12-01 09:57:00,2011-11-01 10:27:00,241,1283.3466666666666,True,335
12346,77183.6,1,74215,1,1,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,False,0
16684,66653.56,28,50255,119,1,2010-12-16 17:34:00,2011-12-05 14:06:00,277,2380.4842857142858,True,353
14096,65164.79,17,16352,1119,1,2011-08-30 10:49:00,2011-12-05 17:17:00,5111,3833.2229411764706,True,97
13694,65039.62,50,63312,366,1,2010-12-01 12:12:00,2011-12-06 09:32:00,568,1300.7924,True,369
15311,60632.75,91,38147,567,1,2010-12-01 09:41:00,2011-12-09 12:00:00,2366,666.2939560439561,True,373
13089,58762.08,97,31025,636,1,2010-12-05 10:27:00,2011-12-07 09:02:00,1814,605.7946391752578,True,366
17949,58510.48,45,30546,29,1,2010-12-03 13:12:00,2011-12-08 18:46:00,70,1300.232888888889,True,370
15769,56252.72,26,29672,26,1,2010-12-03 15:16:00,2011-12-02 13:52:00,130,2163.566153846154,True,363
15061,54534.14,48,28920,70,1,2010-12-02 15:19:00,2011-12-06 12:06:00,403,1136.1279166666666,True,368
14298,51527.3,44,58343,884,1,2010-12-14 12:59:00,2011-12-01 13:12:00,1637,1171.075,True,352
14088,50491.81,13,12665,379,1,2011-01-21 13:07:00,2011-11-29 16:16:00,589,3883.9853846153846,True,312
15749,44534.3,3,18028,5,1,2011-01-11 12:55:00,2011-04-18 13:20:00,10,14844.766666666668,True,97
12931,42055.96,15,28004,28,1,2010-12-17 09:45:00,2011-11-18 12:39:00,82,2803.730666666667,True,336
17841,40519.84,124,22834,1323,1,2010-12-01 14:41:00,2011-12-08 12:07:00,7676,326.77290322580643,True,371
15098,39916.5,3,121,1,1,2011-06-10 15:22:00,2011-06-10 15:33:00,3,13305.5,True,0
13798,37153.85,57,23948,113,1,2010-12-02 17:24:00,2011-12-08 15:51:00,349,651.8219298245614,True,370
16013,37130.6,47,15536,30,1,2010-12-03 13:09:00,2011-12-06 10:36:00,139,790.0127659574467,True,367
16422,34684.4,51,33704,68,1,2010-12-05 15:35:00,2011-11-22 14:00:00,369,680.086274509804,True,351
15838,33643.08,19,18368,54,1,2010-12-07 11:26:00,2011-11-28 14:00:00,167,1770.6884210526316,True,356
12748,33053.19,209,25287,1768,1,2010-12-01 12:48:00,2011-12-09 12:20:00,4412,158.14923444976077,True,372
17404,31906.82,15,32748,111,1,2010-12-14 13:28:00,2011-12-05 16:26:00,198,2127.1213333333335,True,356
17389,31833.68,34,7612,45,1,2011-01-12 15:48:00,2011-12-09 09:38:00,213,936.2847058823529,True,330
13098,28882.44,28,15968,156,1,2011-01-26 13:46:00,2011-12-08 14:14:00,572,1031.5157142857142,True,316
