month_start,revenue,units_sold,orders,customers_with_id,sales_rows,average_order_value,revenue_growth_pct
2010-12-01,821452.73,358019,1559,885,40991,526.91,
2011-01-01,689811.61,387099,1086,741,34060,635.19,-16.03
2011-02-01,522545.56,282934,1100,758,26882,475.04,-24.25
2011-03-01,716215.26,376599,1454,974,35497,492.58,37.06
2011-04-01,536968.49,307953,1246,856,28882,430.95,-25.03
2011-05-01,769296.61,395001,1681,1056,35917,457.64,43.27
2011-06-01,760547.01,388511,1533,991,35716,496.12,-1.14
2011-07-01,718076.12,399693,1475,949,38395,486.83,-5.58
2011-08-01,757841.38,421020,1361,935,34264,556.83,5.54
2011-09-01,1056435.19,569573,1837,1266,48900,575.09,39.40
2011-10-01,1151263.73,621029,2040,1364,58537,564.34,8.98
2011-11-01,1503866.78,751377,2769,1664,82004,543.11,30.63
2011-12-01,637790.33,313612,819,615,24833,778.74,-57.59
