stock_code,description,revenue,units_sold,orders,customers_with_id,sales_rows,revenue_share_pct,average_unit_price
DOT,DOTCOM POSTAGE,206248.77,706,706,1,706,1.938043812910482,292.13706798866855
22423,REGENCY CAKESTAND 3 TIER,174156.54,13851,1988,881,2007,1.636484934309654,12.573571583279186
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1,1,1.5830468513509377,2.08
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104462.75,37641,2198,856,2253,0.9815980299766854,2.775238436810924
47566,PARTY BUNTING,99445.23,18283,1685,708,1699,0.9344502404788154,5.439218399606191
85099B,JUMBO BAG RED RETROSPOT,94159.81,48371,2089,635,2109,0.8847850932411696,1.9466169812490954
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,138,250,0.7677134875281646,1.047004728768598
POST,POSTAGE,78101.88,3150,1126,331,1126,0.7338946327324858,24.79424761904762
M,Manual,77750.27,6984,289,197,316,0.7305906829195611,11.132627434135166
23084,RABBIT NIGHT LIGHT,66870.03,30739,994,450,1017,0.6283530704723153,2.1754133185855102
22086,PAPER CHAIN KIT 50'S CHRISTMAS,64875.590000000004,19329,1160,613,1184,0.6096120515454088,3.356386258989084
84879,ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455,678,1476,0.5537211657094488,1.6205824762114296
79321,CHILLI LIGHTS,54096.36,10302,661,205,667,0.508323592906654,5.251054164239953
22502,PICNIC BASKET WICKER SMALL,51408.770000000004,1937,463,175,466,0.483069298439152,26.540407847186373
22197,SMALL POPCORN HOLDER,51334.47,56898,1392,407,1418,0.48237112867407045,0.9022192344194875
23298,SPOTTY BUNTING,43148.18,8466,1146,573,1161,0.405447573274487,5.096643042759273
22386,JUMBO BAG PINK POLKADOT,42401.01,21448,1218,372,1232,0.3984266916678121,1.9769213912719135
23203,JUMBO BAG DOILEY PATTERNS,42030.340000000004,20485,1231,505,1242,0.3949436420470482,2.051761776909934
21137,BLACK RECORD COVER FRAME,40633.38,11651,375,140,376,0.3818169228676638,3.4875444167882583
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728,378,732,0.35832778574027707,6.949815928558411
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483,1385,640,1392,0.3580952190957849,5.09272885206468
22960,JAM MAKING SET WITH JARS,37082.13,8695,1132,573,1133,0.34844713312007713,4.264764807360551
82484,WOOD BLACK BOARD ANT WHITE FINISH,35966.92,6012,685,285,685,0.3379679150350631,5.982521623419827
20725,LUNCH BAG RED RETROSPOT,35862.36,19432,1565,532,1582,0.33698540318261466,1.845531082750103
22178,VICTORIAN GLASS HANGING T-LIGHT,33146.82,24275,1037,403,1041,0.3114684728478983,1.365471472708548
22114,HOT WATER BOTTLE TEA AND SYMPATHY,32973.44,5740,643,325,646,0.3098392847742802,5.7445017421602795
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32843.840000000004,10594,820,470,831,0.3086214812540304,3.1002303190485185
22112,CHOCOLATE HOT WATER BOTTLE,32826.58,6017,858,382,872,0.3084592953839724,5.455639022768822
85099F,JUMBO BAG STRAWBERRY,32495.59,17237,812,315,816,0.3053491041249639,1.8852230666589314
22469,HEART OF WICKER SMALL,32094.6,17963,1201,573,1219,0.30158114861890695,1.7867060067917384
23245,SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,873,472,876,0.29240956585702543,4.904420803782506
21931,JUMBO STORAGE BAG SUKI,30764.01,13651,1184,333,1194,0.2890780839120456,2.25360852684785
22727,ALARM CLOCK BAKELIKE RED,30644.87,7800,1051,388,1061,0.28795856916356904,3.928829487179487
23199,JUMBO BAG APPLES,30450.690000000002,14908,978,344,986,0.2861339311422565,2.0425737858867725
22470,HEART OF WICKER LARGE,30098.11,9887,925,485,936,0.28282086659619404,3.0442105795489027
22355,CHARLOTTE BAG SUKI DESIGN,29254.149999999998,18124,882,249,890,0.27489048496849305,1.6141111233723238
22699,ROSES REGENCY TEACUP AND SAUCER,29056.920000000002,9864,1065,423,1073,0.27303718721927334,2.945754257907543
23355,HOT WATER BOTTLE KEEP CALM,28718.800000000003,5816,782,474,796,0.269859997973387,4.9378954607978
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28577.1,12574,1175,375,1180,0.2685284952047187,2.272713535867663
20685,DOORMAT RED RETROSPOT,28049.54,4088,696,329,697,0.26357120797367706,6.861433463796478
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28047.74,13900,933,306,943,0.26355429403589586,2.0178230215827337
22457,NATURAL SLATE HEART CHALKBOARD,27991.61,9119,1249,587,1255,0.2630268610760839,3.0695920605329534
23201,JUMBO BAG ALPHABET,27850.83,13366,906,396,911,0.2617040032089484,2.0837071674397727
22726,ALARM CLOCK BAKELIKE GREEN,27155.28,6419,980,322,989,0.2551681757513112,4.230453341642
21175,GIN + TONIC DIET METAL SIGN,27029.97,12207,809,343,812,0.25399068378277334,2.214300811010076
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,26425.579999999998,9461,449,192,464,0.24831145330743537,2.793106436951696
21915,RED  HARMONICA IN BOX,26294.08,21903,661,349,664,0.24707579618619427,1.200478473268502
22666,RECIPE BOX PANTRY YELLOW DESIGN,26219.95,8269,1111,471,1119,0.24637922384856983,3.1708731406457855
84946,ANTIQUE SILVER TEA GLASS ETCHED,25843.38,19209,905,415,912,0.2428407340984118,1.345378728720912
22629,SPACEBOY LUNCH BOX,25719.02,14249,900,322,905,0.24167216893036964,1.804970173345498
22961,JAM MAKING SET PRINTED,25637.78,16396,1162,537,1164,0.24090878653850928,1.5636606489387654
48138,DOORMAT UNION FLAG,25534.15,3751,616,313,618,0.23993501355391447,6.807291388962944
21181,PLEASE ONE PERSON METAL SIGN,25225.480000000003,12274,845,361,857,0.23703455512339355,2.0551963500081474
23173,REGENCY TEAPOT ROSES,24879.13,2766,416,248,421,0.23378003159531843,8.994624005784527
21621,VINTAGE UNION JACK BUNTING,24525.83,2787,475,267,485,0.23046020147414356,8.800082526013636
22111,SCOTTIE DOG HOT WATER BOTTLE,24455.39,4655,771,425,781,0.22979830270897073,5.253574650912997
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24436.260000000002,5966,834,393,847,0.22961854513688448,4.095920214549112
22326,ROUND SNACK BOXES SET OF4 WOODLAND,24364.870000000003,8535,732,281,733,0.22894771957121599,2.8547006444053897
22138,BAKING SET 9 PIECE RETROSPOT,24185.27,4937,934,581,938,0.22726008444593146,4.898778610492202
48187,DOORMAT NEW ENGLAND,24108.39,3807,600,314,602,0.2265376713700302,6.332647754137116
21731,RED TOADSTOOL LED NIGHT LIGHT,23919.78,14001,849,266,855,0.22476537258951843,1.7084336833083351
48185,DOORMAT FAIRY CAKE,23872.91,3615,365,143,366,0.22432495244295897,6.60384785615491
23344,JUMBO BAG 50'S CHRISTMAS,23772.07,10285,716,391,722,0.22337739606192505,2.311333981526495
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23489.420000000002,4800,470,275,471,0.22072143799866414,4.893629166666667
22189,CREAM HEART CARD HOLDER,23435.82,8284,524,274,526,0.22021777851806695,2.8290463544181557
