customer_id,last_purchase_date,frequency,monetary,units_sold,products_purchased,country,recency,r_score,f_score,m_score,rfm_score,rfm_code,segment
14646,2011-12-08 12:12:00,73,280206.02,196915,700,Netherlands,2,5,5,5,15,555,Champions
18102,2011-12-09 11:50:00,60,259657.3,64124,150,United Kingdom,1,5,5,5,15,555,Champions
17450,2011-12-01 13:29:00,46,194390.79,69973,124,United Kingdom,9,5,5,5,15,555,Champions
14911,2011-12-08 15:54:00,201,143711.17,80240,1787,EIRE,2,5,5,5,15,555,Champions
14156,2011-11-30 10:54:00,55,117210.08,57768,714,EIRE,10,5,5,5,15,555,Champions
17511,2011-12-07 10:12:00,31,91062.38,64549,453,United Kingdom,3,5,5,5,15,555,Champions
16684,2011-12-05 14:06:00,28,66653.56,50255,119,United Kingdom,5,5,5,5,15,555,Champions
14096,2011-12-05 17:17:00,17,65164.79,16352,1119,United Kingdom,5,5,5,5,15,555,Champions
13694,2011-12-06 09:32:00,50,65039.62,63312,366,United Kingdom,4,5,5,5,15,555,Champions
15311,2011-12-09 12:00:00,91,60632.75,38147,567,United Kingdom,1,5,5,5,15,555,Champions
13089,2011-12-07 09:02:00,97,58762.08,31025,636,United Kingdom,3,5,5,5,15,555,Champions
17949,2011-12-08 18:46:00,45,58510.48,30546,29,United Kingdom,2,5,5,5,15,555,Champions
15769,2011-12-02 13:52:00,26,56252.72,29672,26,United Kingdom,8,5,5,5,15,555,Champions
15061,2011-12-06 12:06:00,48,54534.14,28920,70,United Kingdom,4,5,5,5,15,555,Champions
14298,2011-12-01 13:12:00,44,51527.3,58343,884,United Kingdom,9,5,5,5,15,555,Champions
14088,2011-11-29 16:16:00,13,50491.81,12665,379,United Kingdom,11,5,5,5,15,555,Champions
17841,2011-12-08 12:07:00,124,40519.84,22834,1323,United Kingdom,2,5,5,5,15,555,Champions
13798,2011-12-08 15:51:00,57,37153.85,23948,113,United Kingdom,2,5,5,5,15,555,Champions
16013,2011-12-06 10:36:00,47,37130.6,15536,30,United Kingdom,4,5,5,5,15,555,Champions
15838,2011-11-28 14:00:00,19,33643.08,18368,54,United Kingdom,12,5,5,5,15,555,Champions
12748,2011-12-09 12:20:00,209,33053.19,25287,1768,United Kingdom,1,5,5,5,15,555,Champions
17404,2011-12-05 16:26:00,15,31906.82,32748,111,Sweden,5,5,5,5,15,555,Champions
17389,2011-12-09 09:38:00,34,31833.68,7612,45,United Kingdom,1,5,5,5,15,555,Champions
13098,2011-12-08 14:14:00,28,28882.44,15968,156,United Kingdom,2,5,5,5,15,555,Champions
13081,2011-11-28 10:54:00,11,28337.38,19068,503,United Kingdom,12,5,5,5,15,555,Champions
13408,2011-12-08 09:05:00,62,28117.04,16232,234,United Kingdom,2,5,5,5,15,555,Champions
17857,2011-12-05 13:13:00,23,26879.04,19256,19,United Kingdom,5,5,5,5,15,555,Champions
16333,2011-12-02 12:19:00,22,26626.8,32184,9,United Kingdom,8,5,5,5,15,555,Champions
13777,2011-12-09 12:25:00,33,25977.16,12897,36,United Kingdom,1,5,5,5,15,555,Champions
16210,2011-12-08 12:36:00,18,21086.3,7559,74,United Kingdom,2,5,5,5,15,555,Champions
17675,2011-12-08 18:03:00,31,20374.28,8360,239,United Kingdom,2,5,5,5,15,555,Champions
17381,2011-12-01 11:59:00,29,20275.61,25649,40,United Kingdom,9,5,5,5,15,555,Champions
12471,2011-12-07 15:43:00,30,19788.65,8200,150,Germany,3,5,5,5,15,555,Champions
15039,2011-11-30 11:31:00,47,19766.59,9131,408,United Kingdom,10,5,5,5,15,555,Champions
15159,2011-12-08 12:05:00,30,18641.010000000002,11441,363,United Kingdom,2,5,5,5,15,555,Champions
12901,2011-12-01 10:07:00,28,17654.54,23075,30,United Kingdom,9,5,5,5,15,555,Champions
14031,2011-12-02 17:13:00,19,17286.86,5788,119,United Kingdom,8,5,5,5,15,555,Champions
17428,2011-12-09 09:45:00,28,17256.85,9474,252,United Kingdom,1,5,5,5,15,555,Champions
13767,2011-12-07 15:00:00,37,17220.36,7322,55,United Kingdom,3,5,5,5,15,555,Champions
13881,2011-12-06 12:50:00,20,17159.52,10118,72,United Kingdom,4,5,5,5,15,555,Champions
16839,2011-12-01 09:03:00,34,16594.35,8975,114,United Kingdom,9,5,5,5,15,555,Champions
12921,2011-11-30 16:22:00,37,16587.09,9526,233,United Kingdom,10,5,5,5,15,555,Champions
17677,2011-12-08 09:56:00,30,16345.38,9772,178,United Kingdom,2,5,5,5,15,555,Champions
15189,2011-12-08 13:22:00,41,16225.39,6149,80,United Kingdom,2,5,5,5,15,555,Champions
15856,2011-12-05 17:09:00,27,16143.64,10866,295,United Kingdom,5,5,5,5,15,555,Champions
14051,2011-12-09 10:20:00,23,15610.390000000001,3756,52,United Kingdom,1,5,5,5,15,555,Champions
16133,2011-12-06 11:24:00,33,14589.04,8887,219,United Kingdom,4,5,5,5,15,555,Champions
14866,2011-11-29 11:45:00,12,14389.9,6752,30,United Kingdom,11,5,5,5,15,555,Champions
16705,2011-12-09 12:08:00,20,14034.99,5476,133,United Kingdom,1,5,5,5,15,555,Champions
12621,2011-12-08 11:25:00,20,13689.67,7440,261,Germany,2,5,5,5,15,555,Champions
12433,2011-12-09 10:02:00,7,13375.87,11071,219,Norway,1,5,5,5,15,555,Champions
15498,2011-12-07 12:48:00,27,13316.4,6105,360,United Kingdom,3,5,5,5,15,555,Champions
17735,2011-12-07 16:47:00,19,13110.02,8439,319,United Kingdom,3,5,5,5,15,555,Champions
16525,2011-12-07 15:07:00,26,13027.45,7397,75,United Kingdom,3,5,5,5,15,555,Champions
14258,2011-11-30 15:27:00,9,12669.98,7100,58,United Kingdom,10,5,5,5,15,555,Champions
13078,2011-12-06 15:36:00,26,12627.94,5630,95,United Kingdom,4,5,5,5,15,555,Champions
15640,2011-12-05 14:35:00,15,12416.11,6572,240,United Kingdom,5,5,5,5,15,555,Champions
12682,2011-12-06 10:00:00,31,12279.82,5555,209,France,4,5,5,5,15,555,Champions
13113,2011-12-09 12:49:00,24,12245.960000000001,3045,95,United Kingdom,1,5,5,5,15,555,Champions
14606,2011-12-08 19:28:00,93,12076.15,6187,819,United Kingdom,2,5,5,5,15,555,Champions
14194,2011-12-05 10:38:00,21,11349.52,5840,269,United Kingdom,5,5,5,5,15,555,Champions
12971,2011-12-06 12:20:00,86,11189.91,9289,94,United Kingdom,4,5,5,5,15,555,Champions
14895,2011-12-02 09:23:00,20,11138.710000000001,4851,273,United Kingdom,8,5,5,5,15,555,Champions
